c,田帆,邓卫,李袁开，行不更名坐不改姓,邓志豪,钱乐天,姚佳伟,程曦,周源涛,王森懋,小帅哥,陈壮,杨剑弦,蒋博文,吕梦轩,刘昊,高达,严进,马宏宝,纪昌志,王广澳,齐宇轩,何慧凯,范宽,覃威铭,张博文,毛毛,流星蝴蝶剑,邹颖,陈伟52,潘思宇,毕浩,顾阿飞,汪义超,陈犇,邹精龙,张世伟,瞿鑫,陈思同,廖进宝,常浩铭,RUI,刘团团,黄恒,黄洋,杨帆,陈恺,刘宇,曹文斌,曹文潇,崔艳德,谢嘉庆,江佳俊,98k,胡振宇,任云天,郑万熙,邵哲元,张欢,张宇轩,熊成,李昊熹,罗刚,林灿林,朱家伟,晓斌,陈诒,吴佳明,王宇飞,辛书呈,秦岭,李晨,王晨波,盛玉全,李喆,缪钟毅,李鹏飞,黄钟灵,江正,黄王满,陈伟144,孟津,柯南,张志伟,田源,华筝,王红亚,李泓儒,包玉刚,彭志鹏,肖洪勋,徐壮,周展旭,王志强,褚冲,郭奕村,诸葛,白杨,刘明杰,陈希,李杰,刘金云,刘祥,张云波,光清,王哲,郭斯特,陈锐,毛奏,小陈,刘军想,王光铭,李威,朱韬,杨腾飞,杨玉怀,李沛之,林俊旭,赵翔国,白羊,郑春桥,兰富强,熊伟伟,王旭,袁泉,平平唐,胡斌斌,蔡建德,何冲,张锋,张晨阳,张小锋,郑浩,黄超,徐言哲,王晨逸,黄星,李立伟,反正有时间可以告诉你更多,李航,成明峰,邢剑,满岳杭,桑凯旋,冯亚,端木凡昌,刘思思,王茜,方雄风,康开,王晋,马永真,杨琛,章旺
喻婵,726.340767209969,739.3340104951292,639.8155661341286,706.8754358509916,582.7526585211456,579.0771885779237,579.2559294461448,686.4935213656343,706.413859408794,519.119449214792,612.1994231836702,673.7647886406774,637.5545385072985,562.0520878944116,667.1281982975199,733.7348289724541,653.4516974447973,738.1907526444586,715.9728588938091,558.258346668133,590.7657739660557,600.0526271923326,664.1767919796895,628.2920138297379,696.448079688974,604.5496843106288,610.4625986885253,767.9817394239976,759.9353837827109,673.4642505635304,753.8306407498146,702.7437382296757,637.7363616108912,819.3687606839069,681.1329670303612,628.6525357977691,677.9262737956478,757.7102610730898,579.0783203023605,551.413805142693,695.4928709367969,635.7003633231101,695.4720877882432,670.9229537192869,624.3348873510602,735.1614895270263,779.4010751443705,643.4622641398312,553.5354901362364,741.6021947570644,578.2556376034952,651.26644263778,355.15591691500464,665.4426624153532,713.5849711713746,632.4018229121222,687.9957805282313,724.939072299472,727.5625678099877,779.7998735905006,648.9202749719682,808.6529497845813,657.1918294065854,595.3828968328675,676.8956868254045,869.5432867727287,704.6574265142203,569.2056012557196,723.3247819104386,698.096502758811,619.6885640860016,511.28935591465233,856.948258467786,707.0115369334019,834.7107871506328,758.751549874793,837.3750764393161,747.4655977626232,745.3357821796349,774.1095449042077,643.3215038913066,709.903382554457,527.0386796213527,619.5857849246784,751.6467372965681,605.3150163163955,750.802931267307,741.1570393922767,687.3822876939105,629.9948845468351,650.1388341255829,686.4609028946526,761.5268923306695,780.4430664779752,564.3657702785758,646.6182903908053,778.5276985551625,609.6559763384831,516.171316159194,732.2181840989656,636.8804679344316,760.8781307965451,866.0440187704849,680.1255839461403,659.385109574098,831.1895580682657,538.6305437759469,597.4787938535528,684.6868472330572,542.821881255652,749.5954651920421,548.0565075234683,576.8250066777227,707.6366022330368,624.7954474541698,485.1837583894475,519.9597694488497,743.2777066559111,729.594120367422,579.2846973026551,770.3824143380707,546.101346233602,740.7295214904923,681.5510761665062,672.3985078260855,651.2607413054718,642.7901526682776,545.2756002931555,562.1202156364952,692.723359961763,694.0969100115681,665.3127812054893,753.1166915479337,812.1938341420553,749.0399237872832,432.923812567445,590.4420369957625,734.7282689779074,517.0066327564886,766.5813815683979,607.4114661167109,595.3428918033694,709.3658494964105,566.4021335912396,828.6184877241772,440.59749143053693,621.2175881928771,686.8364352618755,719.5517467709406,596.6339467056658,749.5375275091535,850.0478168445616,669.9419343621051
柚子,658.1551540675955,577.6305801217891,660.836841053003,650.6042790105383,369.26349896031854,434.69700984631015,473.83096147468945,651.3761340759828,686.299740198225,572.9770627645125,540.7040934956786,685.4618932782903,761.8679730336826,559.9705697572508,587.3483677757897,591.7370127459906,551.498217498406,617.15035486458,578.5277813564255,669.5885810160612,574.5424867234406,528.6414507569768,727.4585105846987,534.8123668119517,654.4742702480851,560.0374242271354,499.1302909461284,700.8834353551869,669.9012794575889,636.921021373237,758.1640415402728,605.5547063715076,576.1329458953114,743.0533988086283,565.2700030533673,637.8219663723095,554.7399561887787,709.2872843836801,494.49721471752616,465.98197432639176,697.086061435672,552.2055481335901,466.9889886074618,529.3363837093561,653.4867983284481,813.1248153193585,783.8034038610449,554.370393833387,470.6921826371589,581.0023582697149,635.993881741795,579.9933495538252,410.1839164097288,499.39630836602987,616.1464162733099,714.2465216866028,556.0990368557821,622.3508187051827,723.5372502056955,596.4004937409363,661.4341551202469,726.0926277184235,542.2865395331761,620.8292981536603,746.1048187903749,665.8354476489512,627.3814265842121,529.3777174512124,680.150836655024,766.996097369233,570.919697421696,458.27621170699433,697.020294715114,666.2371667343562,774.3886609292663,632.3937776013888,711.0358940450285,622.9592925239747,659.5650326436976,774.3073457974726,650.492300002617,655.554443275013,496.66782306352604,571.2857152891997,675.0253829907703,445.6027486212396,591.9632140606628,679.5964835730744,629.2644509382092,682.1148984484873,548.1979148364064,688.2341566468372,547.4261524698362,661.4755634303312,513.5562301874908,637.2444363243094,687.6992494046222,576.9972955963998,501.0413817872077,525.6490620488461,655.6295781938704,572.0938145197536,694.2985167910587,641.3590320807612,696.429043590775,692.0635231888473,467.6989954597699,610.5211749036102,637.5910487549577,535.4760335516961,737.4896255184277,675.587282019173,686.800475804068,610.9001485778726,525.7489320774056,448.5555511077254,551.2010286235492,728.7752226898708,797.8299753179634,462.4159503011045,742.1697568798422,441.0149746916095,672.4414693169866,575.5666492872731,537.1714877648913,493.0448959845521,613.9597618537543,580.2577177639599,664.7032442967774,686.7521190735583,545.8112851127919,660.7476088422814,670.58969853325,758.5350263588641,728.5732670906498,548.3912979956268,492.64049433012343,745.4604508928521,488.5447959095469,751.0764451411324,499.879241929043,737.7369926978497,714.1842077105536,418.9891204528345,739.1169966334351,418.24960398515077,536.6612254461775,540.1820030005712,529.8205794224102,640.1110791739277,649.1641936230475,798.2632610911874,601.3349163082402
李新宇,571.8658702352428,502.58116620651356,672.2848899113396,520.6380223656193,386.0860820123365,409.75252186013927,418.18321136182163,493.2624821170981,516.7836225038366,576.5539823823988,695.4344107389625,554.9935034187431,745.5050976509588,633.2311359350458,465.0706456702241,397.9427677803688,486.13529257523294,644.6076580936035,475.25773875099355,782.3694529798422,717.3517936878784,386.78357911864964,631.4149828957931,391.47721335195627,592.8527689034397,505.14268803358505,486.52055394290954,637.880809860526,554.392874260122,494.87332064813364,748.1474979885647,443.6790627685866,559.0638458600785,620.1789183566482,424.09874326509674,589.4492242310479,482.09363671982726,525.7673441743791,424.92017332248037,588.1466187462806,705.2692428967301,443.91267095220894,408.9107483228506,467.3141211641257,568.5089771188691,647.465734345202,721.9105439061931,555.8350514111538,374.31311862454174,385.0721214354893,652.5336304889564,462.3204700495524,372.2111153806237,519.4022505951075,630.9383301782061,712.8087420386097,572.4290452407225,612.3324756033371,703.8513675599687,486.31633088962,487.1682188156516,527.799214338527,441.8292995143737,519.6507387002964,668.9785199344409,653.282915485308,557.043413010902,483.5597663807906,614.7058303331065,782.5779346217109,467.5315500620603,520.0046968533688,473.0883275725315,601.4062305056254,578.6045279096376,419.3773108743164,651.5254364258086,657.9608025608225,492.423609556188,625.4530636836051,619.4198579420316,446.5991226338852,628.1975945106554,544.9208660616384,541.4526297094145,491.2612266229322,469.75169701629954,508.4266771582894,619.5296790483715,630.3542591079656,463.1183862895892,612.8760288776682,452.2348945495795,540.2522092302659,465.43276611902417,598.4584728463542,564.4366975778105,444.5492412867953,476.7059594500791,433.8919704180725,631.4483957114207,553.0356110646467,606.0347529847774,566.5826974565603,580.7401053503288,512.9449516337388,447.870704654121,429.4789016289384,618.0149822776384,648.7872557976946,546.2405942261014,661.8841721937756,654.0145519765538,456.90904968329454,521.0169427529898,516.3089446213868,332.0283829894813,694.8039689336267,671.4008817509598,472.02402944728385,606.9418439189601,418.7202179156077,502.5801861167272,500.03265388300656,495.24981833979564,447.8771336881209,503.48247549947087,614.6427112891525,636.6551972645161,650.9713491991059,473.8347304208969,653.2042218404848,630.0653669170906,634.4599210426071,733.494027768972,580.1501305210664,413.7631206077144,657.1509993270906,448.0492026911045,753.196234613336,445.8914830956287,636.3396648308808,706.9294803802611,383.6544829957361,525.0387924468495,452.36058410621627,471.61488780699915,537.6248585460805,504.6631746671842,674.551193479537,535.8402758358575,689.9906710932839,656.3781850974261
Yilia,669.1408138691085,581.1040978799679,510.49036700981395,644.773817804431,360.72079058797954,444.25240903432086,495.9856449091283,618.2186170864551,584.9041521216814,719.6824403788366,670.0549231957303,695.3386445971532,659.3566993463993,589.0020883723272,585.8666021769952,628.0650809653753,544.4498963693871,575.9200812762754,605.1026686443192,619.9209753632692,600.8070367789936,537.6108960516627,625.1007347936259,527.8189075858307,627.440658850022,525.6272898349413,543.353456967235,618.3140833117903,659.1705500451858,498.2526811697945,649.9247635300906,638.1791851913952,595.5772097694764,719.5186581508106,594.8959269320951,608.5650233837384,643.7511921275068,708.4973064998278,610.0450850950726,608.0582097238187,711.5445636848672,553.6541594555415,483.401926782264,561.0029800480132,616.0101649440634,559.3331707766431,657.0083576086653,442.3876666086066,512.8325719991474,583.4527711636085,557.1618918894831,491.9105792032159,492.77694933435384,711.2523200067723,480.0450890116587,543.8566156889358,677.7628616889308,668.3653989617889,555.9809718028334,617.5203597437738,627.6688573596003,679.4721639992908,549.4550148524863,470.6992890262202,501.64565058738896,558.1627561331718,511.8123384056084,524.5090294130528,583.4528923910141,644.6965277020713,616.7335206982928,418.3883581134071,659.4933655584873,714.8185910613361,724.4307514053403,553.3605967150643,550.038577627028,583.9549975884173,506.78837213456836,682.8581972557308,580.1121806671626,547.8153084768464,492.3053630096978,700.410245279431,662.035796496815,573.6527381554425,631.4132845696454,635.03980503657,542.7813501122135,569.9806248389634,628.9465403465668,724.7549019542679,670.987389224639,637.7656645146457,558.279272184923,552.1744935389931,655.52319532113,610.6892652066686,641.840313796272,618.2792425084043,744.7692110273927,638.3149425113293,659.7235610567938,562.339653870144,645.1042391947282,571.1573922107978,472.721031097532,558.4446982726829,601.9082387741703,534.1190678010953,665.2634541694132,554.2595180541492,710.0620174596822,610.1552588450147,626.130939690335,485.40742059224806,463.8172891808354,592.5997604441623,606.026679893323,559.0291193926122,607.3718932594173,510.34985512069295,703.4015517022714,652.4355644176385,492.6353210050705,544.4042981460261,631.1492983215239,500.50441508164965,460.90052253710854,436.50964222377877,451.8506994611212,596.372784391377,798.5142205292392,581.6727215781931,580.9217124269073,549.4688691322201,479.9247855337057,631.3714082486094,448.0028967657279,719.674709868344,640.4666271183071,645.2405606156799,554.4191482419847,399.6395096358977,630.7164931399087,443.4882089452513,541.5959263430377,685.8484399598406,541.9530754286748,601.6490427924762,566.4909502398705,725.4027848730206,646.4503399002548
兰静雅,748.1737874153968,773.6544915686214,535.9960735211087,719.9513106433468,537.6792292403591,677.3442063742557,539.6839308612695,734.7901799816841,597.5877827794454,595.4930443709271,687.4447333575638,856.8816221388216,698.0210307813018,442.2218933842065,702.4649927068353,787.8961217238782,776.4263016704158,609.2568881581806,630.5424402510073,611.5810259376308,476.6845722073707,730.4559574901635,597.699049924101,698.6162047117708,583.6314131527678,610.1591754169971,732.8726943730298,651.4792607025663,799.1497566364579,611.9564078973356,596.8284839041701,748.1662177387363,654.8444905027732,720.1263974658918,654.2530828324623,615.5572299076612,823.1642646224869,718.0424268509005,756.2346608063503,568.3879973990504,630.9327577929917,714.1699072213664,613.0056121904331,652.8502553563463,653.6161365398727,736.55175959931,660.5961944014009,580.0553560390795,751.4847295270517,772.0480224738803,494.49568765395736,606.5830916716789,472.01535759738476,750.2112257363754,596.1971248702832,668.9277802786636,638.2529548683056,768.3848760344893,692.1001294003221,704.9552384273884,620.5126016702466,782.8959137299612,646.1854929133522,666.2060425707848,586.4770201739143,682.5930409271057,618.6001448341926,590.0627515415157,610.572769774182,646.1875223035594,717.2897155569824,494.91428853180423,801.6036670335541,723.9918335313496,664.2708854857942,659.6867372739104,684.7593719658094,669.5290030990166,652.3825878640687,639.8299452076155,513.2471301276763,653.174797021648,444.06796143708914,633.7794957322074,627.0743258392802,660.4629737003139,712.7334064904103,767.6069850087792,643.0999634420536,581.4126304815994,701.0262996783779,724.6170577391356,773.0713598649324,742.9807801185882,583.9486982263036,674.8747907446469,760.2925370626447,761.3824558401384,547.7796252987398,770.6344388424707,739.654793927255,799.7312831321728,741.3306168486157,623.3953579373444,738.1678055518563,595.4616866886172,650.4875376300236,604.633706877072,605.5772530159722,588.4755646273693,648.8568226093491,556.2184198445832,538.1253737799238,716.3547577586116,808.2945298068825,510.3734736539761,623.6076593746059,523.619178077302,556.4055700865848,592.5840666781776,680.5395276645754,707.4850214069913,837.4957396695397,766.2141256571463,615.0763880039078,774.7201604249381,741.2065938441053,473.63562039202804,487.068693837613,597.1212457012484,657.8975086768786,701.94210888779,782.8489523947524,701.315766689923,606.4276708809501,555.1941501142919,611.5815361655266,597.9156421454938,432.38716598321594,707.1696909464745,694.812074753853,486.2068310918767,690.0072832823932,577.1589499546201,737.1655732230474,475.1973868736589,628.0596276310079,764.646910974086,652.9290540944539,563.8431971360721,806.1472901194536,688.2384243695251,570.0151475383589
田小小,551.1271191041697,447.96835384919683,485.50292856909215,456.84507381289313,299.7838036677225,360.3474396145368,477.39305006369915,405.4784849967279,491.7768453449547,461.1091909687409,492.6430188422031,551.2736452681086,720.6246609504268,619.5849752897193,527.1908879075975,452.3759948534962,408.53011544892763,393.6886020465038,498.58409324007323,730.289155075304,602.3898983527642,401.1391063898467,591.091426189681,391.8224484697356,525.6918339137135,458.3308245475779,449.09987991831963,494.3593840739413,524.0890730128918,517.7692839793872,584.064713899118,575.106429058879,477.0871607531644,543.9087574018965,476.8823551643232,552.9464830033584,469.5190517236376,477.15040342338295,384.3766022732,482.9070193027552,564.7805548263403,453.54536209867115,398.82373575310123,408.03764886208364,558.1616043253548,504.8152589322913,541.0684272979022,556.6504400957747,387.5887836157126,409.0730364323132,679.474050394773,475.70351030628757,318.4530237511286,423.3490944892271,641.3808604011665,597.76547390617,498.7346614266399,486.22348936524384,676.8160157917446,422.0361191926761,542.9042183870422,510.2012798516886,454.1790274584786,502.28538392062933,578.7909439234415,456.7877601017718,517.847615604458,436.99511121416475,633.2429917565877,636.8979396945928,460.5415669934801,528.4498805672534,479.5619492802055,517.4280496807517,499.9388613238633,465.2304627589652,574.1071761461653,459.3499528070249,387.5604307818921,465.35669525875517,541.5020439082448,394.9811760339829,587.2847135834975,486.437562975931,442.0846735839695,419.8240896116122,478.1949364913521,441.9637611833308,451.73137652788716,573.003226062481,405.97560829153304,464.5188273463043,507.2863319406829,485.21073792115055,436.99947208152423,448.47478850700304,564.0738703302072,512.376680972977,448.3624847342386,508.1219325854152,523.3000088732006,440.4741168808301,555.0019411892692,483.81210775592365,530.938810959741,438.55757013033394,288.9772480243513,391.26079781764963,418.6824556688066,652.3849257100264,421.6826440658644,617.6566805841442,635.0229235833226,491.3083814209447,480.4062791441944,622.1365056353591,404.4610507731022,577.825535599555,713.3952197001396,401.6180763707122,634.3925130475984,331.0538747536346,531.4682365603226,344.4813648806585,505.9929054403998,390.80322011249643,518.5746759682035,567.3571529387135,677.5438653397268,613.4290244724882,419.7650926101305,599.5788317182752,643.9479779956623,606.4952488934223,605.0681322615341,337.70339616980846,442.91781637015345,520.9570325182654,336.89159158916266,734.2377892083807,462.17628820349773,536.8340861131112,589.7082733450238,341.44158537257897,413.5440453661721,460.6745865830048,462.5212555344218,500.903816546877,446.55596310295357,510.81620943970114,447.60831552047404,436.7613578302229,515.0207071450335
李颖,555.4861299227391,507.2612414704681,695.5102246312231,525.4455371845809,279.2965899991626,439.30243012190215,539.2418564294251,593.9793141604699,575.467917128019,507.5744215050554,646.1474067922436,572.0602954071286,696.2389449849368,581.9970306105531,491.8952330398696,440.099846724389,444.1416577206852,568.0904583590283,462.0548390426487,660.3235289558239,570.6886919087257,459.99747621087306,723.3579862898755,390.60059909982846,590.9469173793299,605.0768340356947,451.5785298888541,692.4846834192716,475.3020944163707,549.5805176656941,752.6005391115553,505.5725942452763,597.2240280842275,637.873921914997,497.3498499294869,580.8626410927977,509.5899416977737,627.2750817066076,337.5007048785859,557.2693503873604,688.826999649879,526.2019285605746,375.1664978487204,449.9374367209763,583.0451221984251,684.08234554344,704.6892152428129,593.880022057984,393.06976618915627,471.45373796383933,616.5364128598007,465.2571193005555,343.1054979525554,548.0127850041968,631.5602996412081,669.0708506562753,505.636497126408,594.482038395347,615.4170793230937,484.55342703924146,551.5121357461908,537.5241252788447,435.45505399524217,571.7516776650918,679.7333214873923,608.5086669258083,621.2329707846441,469.8602847174125,561.3738533414212,719.7124001958272,490.58145762526914,385.8296568646731,633.491415620456,499.2718351302442,694.5531507452945,460.0691805505901,665.6011727902362,628.681861619084,532.3869015763529,569.7838210553319,634.1541567055591,492.5395874750807,531.0344338229754,513.972615320053,554.5128637385233,424.14415380826165,582.964578693209,524.737210881873,465.27709992373104,684.1917093285855,421.07807412574147,545.3811630522522,521.3975386926015,552.4106181176486,484.83840980334196,497.15746037132385,572.0048338667988,457.15862449010933,569.5410682922006,522.0162633771683,637.1342151312376,520.6845324887524,685.4291046353653,570.4038213082447,650.551551441381,561.0975896603165,337.6432077791192,434.76800635197617,599.6244843204635,505.129289251931,581.0141702438566,609.7214884896445,605.9025104157926,468.0577871016642,534.6925610729459,573.2884571592615,434.2581700019773,689.2287859120299,771.6655066828785,446.9503301975358,566.0208095122273,391.53811883078913,634.0245334622293,533.7711915168252,492.5472224381434,445.16780852373904,581.3918092154659,453.0120288282237,635.2343282730862,565.8464278037627,494.9791832217173,595.4728697308511,610.9587412659605,588.4209667574994,720.0610366109564,437.29066645357597,446.7988165303924,642.2257014142273,466.3586180369185,804.0663126003086,499.21576279589897,647.6371979904238,629.2028869030063,386.8740930179547,538.0385304912822,398.5363071472556,481.87346351834327,588.8457668667543,446.4044472037808,682.8459671024019,449.3773715073903,714.8507171751938,612.9290637476804
闫艳,676.1954735364161,523.5769195886203,764.5610960285303,604.6662496053541,399.415525813514,490.2555939901363,508.6905901990672,691.8985692114277,683.5001566212275,490.99971991996176,558.2787163172945,657.2444169000735,714.8239503962089,525.9365323653024,594.3219891900019,637.9958257121417,654.4457481090686,731.5250960114561,623.35857333101,708.752697197177,587.8273741174587,524.89233361147,717.2455793322772,604.9870600437991,710.7415123953363,559.4167756137535,577.4088703015606,682.7067739133317,679.6296938610568,570.5216019351498,813.9525972916954,618.3854078059439,690.087395487719,773.6243494541726,615.7316023639225,604.4250966086412,628.3815703952938,701.5255350698596,466.8112097560703,503.7439249607104,626.7406666462372,624.3356069757556,485.8036357895595,585.5466811654079,671.5271177972688,864.4950388271673,798.6873156347003,598.0256751308739,603.5711036126203,622.0515532014819,630.1559938831655,713.8116004047444,344.23444005348085,634.3500153593626,775.948233077743,669.9908611612395,543.8961151201189,664.058026024006,758.885512503267,550.0490908986245,722.2510171074979,763.252710273337,502.1928931922742,549.7838632375834,725.2779781701437,739.2969361867681,633.7099856076667,548.0329370586124,663.1833258546105,808.030946143273,527.6601076321774,614.3488695251822,758.2053147584843,687.9169300413691,769.5173600201431,615.0299849444211,771.7029050932545,635.040772387592,646.5043724798982,700.741628949686,726.8493382448254,603.5607488586634,624.9590752035957,599.3128282761268,663.2895572894845,511.34523845895814,607.559767858721,614.0055011036362,692.831206733111,632.8252224437656,540.7149086682323,598.6472365505672,548.9808520637481,673.5002950603,532.2146824645101,618.240369495471,711.7292898210223,602.1081723227569,444.8259228674958,641.2217360599398,539.681174897684,675.8280763552646,788.149019280049,598.1789110284875,726.3434347794316,721.71760822051,494.20710734160286,536.7799878697615,553.6109415293964,457.35798534785584,697.5398198054321,687.9614124658888,630.5850168843563,561.9408796516138,646.1538263423556,443.54473852862424,449.24134809236983,670.7733236045158,758.3313261420865,528.098667936855,688.7251862949154,466.10360700576945,703.012419962531,616.61584421904,573.690728366529,591.5150210140935,665.455773857492,588.1060453875182,499.6311203823451,672.420904073476,537.4567194352409,639.4780817207337,652.4557034552981,784.4565841944502,642.2030960636739,446.37054864342633,533.1424238636604,702.7488946158828,476.9786383782192,809.4407682446114,528.0924056863686,662.4713188769997,725.8233444564444,496.07236374462207,666.7266080126865,518.0326516935261,582.9200384123286,625.6035084430463,617.3600258324709,698.0121917481989,584.161071805753,795.1132405709978,578.0622285272264
李科慧,563.2188759125447,502.9597107836921,599.90909130317,523.1815446759203,381.6977110905532,481.58794967425814,638.7076391811427,543.575487108825,640.0830670913602,650.4104014289302,685.8239028345636,649.0277254740854,656.134746013053,515.5537022095089,580.2922173124667,563.9673805591619,516.3708838622381,566.1542259281839,587.4304663646187,811.1475921019507,689.1568791978007,553.3457928408795,706.3771731676894,510.93939462458053,588.787960436061,500.52240686864815,516.2199766665985,740.1562640138575,557.344720499975,628.5644887701003,654.9892715838978,615.5647483402113,517.6058231562879,508.718150477396,457.9527158807688,746.9239906963121,627.197087787702,565.8144997489338,523.182503736422,699.8847931372569,640.3264858616944,608.631466118028,557.2319336323771,537.2079330424094,507.8502462164115,658.6447958687259,664.4595224986466,628.0794756977523,422.58641693713264,620.6629227702115,772.4575371376197,500.23773438256273,546.010382958758,414.9477628695827,654.7546961790656,730.1289374494891,553.7729363712467,485.3935424077073,557.8490587789211,522.6515219926142,460.2874214692064,630.5270522729429,497.239500561332,654.923043710161,550.3473380499598,716.070464201891,727.5086719178613,549.6558414210701,634.1084132043821,721.5313691334469,504.2248160419296,357.0504679948212,534.8103827625225,580.7656440709882,617.6601313043055,658.3431270042346,767.0028479534986,607.6878638761947,745.8552804211673,608.9195524920626,619.9047816057807,678.8004475288024,445.8214957572855,692.1453634110462,498.7142157080964,478.51771224360004,630.0531300364696,601.8711799975715,679.0849333493983,840.667750693,567.0582111187284,576.8937535240673,560.3339890348207,673.8019623339371,695.7018000274104,533.6455545383968,685.9457447584252,604.5762162237518,622.3930993617338,617.532219748011,662.549924796293,498.28297885499217,709.2195972699368,693.904579435328,555.6031130062099,720.2339521548565,481.7690163957388,544.0841458922519,589.0239648725237,569.0423486644577,542.4718634642142,493.5220252500776,614.2759640631019,524.4370970286074,633.5227005672466,602.6086155962203,452.1245912232128,753.3562777685203,796.1796986823194,484.3522461829672,699.1751557407364,578.3515179004555,609.6947863677543,618.546587705824,505.64304105716263,563.4507402224662,490.36730016957165,603.4550995731848,714.097782535429,584.1654023569181,544.3656831398464,674.7956867150109,645.3156524853048,761.2405516697986,786.0485828380401,398.0183973977766,500.2258563755697,627.8960722021887,367.06090031843576,767.2619162854107,506.72113806832243,632.7458950928803,573.6500724946247,514.148495362511,529.4368606084149,340.3132869818492,432.04712741585047,631.7903293005437,665.863907305233,593.6826626607018,609.8531974173942,538.7765315937884,715.3814432424184
崔文利,547.1206877931714,597.4420329438144,628.3530226879354,654.603737554499,426.35343720993797,575.8493939537218,610.1446457500183,511.67861975980304,636.2316033858369,552.5932853997351,535.8738854395535,720.303050281443,797.190189781481,600.4142800088821,617.601303455805,638.8268274139346,636.5527004606747,611.1185887132718,563.6416892103647,772.8063089655915,561.0127723913271,489.64166880194597,758.502952322881,573.1545677204336,532.1221149212142,555.8592018104424,549.1937881746054,609.5482612016309,592.6706171887937,582.2583775097773,645.2797525713594,531.9980397053031,548.6160229214852,650.3149462364264,526.4389252549915,560.6476508576797,648.040586910003,629.3033524183761,530.4330507784287,548.5907385970847,586.2716872473936,540.4682407642492,602.4897450560759,554.6967671570774,550.3240700035007,734.4469878898939,670.3583258670216,591.0688805411584,515.4841301547735,633.0021327666441,662.7274118818078,556.4867210348457,460.2724478411917,550.8338043273768,662.0724080321193,795.848449976109,573.5413887855522,539.9637755390862,713.3801266838809,528.4422253930579,483.949953617476,596.1775969099381,561.0537773389292,677.1304032705405,584.9766791763025,641.10397599154,651.6489264706166,621.2273191015722,813.5743063869237,660.3047621892645,581.0936213673027,515.4274750904729,660.3079568338339,554.9765074111816,598.0993967287675,572.276117084194,619.2169935683559,634.6400274268151,587.3674797785147,614.6600698419197,597.2570059909582,562.3320662567312,605.2936731475925,531.926657850436,501.0936586259479,496.26544730302095,599.8898512054418,590.1152594963345,723.505855179651,595.7527825392401,584.5733884716785,619.9805381176577,608.1866837748269,593.4347473313649,617.2659199533284,489.4749338500149,701.492413027845,515.1282984820415,597.1974745493862,600.9784867725489,623.8995821533272,625.4419180955206,684.5822587467841,609.8921301168347,490.4454462468774,677.8687728771112,467.3661006687874,570.8902025656143,517.7846185595894,504.4137434844641,548.0823970979975,622.343099995279,472.41425178535394,491.93703525980357,646.2357003444126,522.4469265789955,497.6610142062051,650.8523757917342,767.6121423684247,416.0785189348024,707.1694589424592,598.2831188617829,671.0303868287418,524.9050293340263,608.8061514732783,576.8683471373822,644.6447086855669,522.4408515336524,689.5523577551947,723.4640276841769,477.5211969507368,657.0889020263785,679.2037442381522,797.5761382907465,660.2773173351518,401.309767140897,618.4710485578039,651.8307006303585,446.07409282805065,813.6891764579572,463.9259424404835,477.7205660371789,601.1376465604669,552.2346184202545,509.23855803303167,359.01406343835447,541.99263719177,590.4189153468188,554.0893386155299,573.1809418570527,566.7393771821617,648.179044627468,539.4718696744658
